Program,Agency,Address,Phone Number,URL
Community Living Inc.,Community Living Inc.,"b 21703, 620 Research Ct, Frederick, MD 21703",(301) 663-8811,https://communitylivinginc.org/
ResCare Community Living - Maryland,ResCare Community Living,"6411 Ivy Ln Suite 330, Greenbelt, MD 20770",(301) 459-2702,https://rescarecommunityliving.com/location/rescare-community-living-greenbelt-maryland/
Bay Area Center For Independent Living,Bay Area Center for Independent Living,"31516 Winterplace Pkwy, Salisbury, MD 21804",(443) 260-0822,https://www.bayareacil.org/
"My Own Place, Inc.","My Own Place, Inc.","6495 New Hampshire Ave #201, Adelphi, MD 20783",(202) 580-6700,https://myownplaceinc.org/
Baddour Center,The Baddour Center,"626 Baddour Blvd, Senatobia, MS 38668",(888) 422-3368,https://www.baddour.org/?utm_source=Google%20My%20Business
St Joshua's Therapeutic Group Home,Unknown,"3409 N State St, Jackson, MS 39216",(769) 257-5466,
South Mississippi Regional Center,South Mississippi Regional Center,"1170 W Railroad St, Long Beach, MS 39560",(228) 868-2923,
Living Independence-Everyone,Life of Mississippi,"1304 Vine St, Jackson, MS 39202",(601) 969-4009,https://www.lifeofms.com/
Morton Group Home,Unknown,"247 Old Hwy 80 E, Morton, MS 39117",(601) 732-8791,
Gemmer Group Home,Gemmer,"1520 Forrester Ave, Sharon Hill, PA 19079",(267) 992-4234,https://gemmergrouphome.com/
Allegheny Valley Sch Group Home,Unknown,"1526 S 5th St, Philadelphia, PA 19147",(215) 334-9599,
Horizon House,Unknown,"438 Stanford Rd, Fairless Hills, PA 19030",(215) 949-9920,
"Agape Family Home, LLC.",Agape,"3807 Chichester Ave, Upper Chichester Township, PA 19061",(267) 408-2202,https://www.agapefamilyhome.com/
St Joseph Group Home,Unknown,"100 Sussex Rd, Dickson City, PA 18519",(570) 489-1736,
Indulgent Horizons Group Home,Pinellas,"1508 Betty Ln Ct, Clearwater, FL 33756",(727) 253-4493,https://pinellas.gov/
Nelson's Group Home,Nelson's Group Home,"8631 NW 26th Pl, Sunrise, FL 33322",(954) 908-5294,https://www.nelsongh.com/
Angels Unware Inc,Angels Unaware,"13924 Capitol Dr, Tampa, FL 33613",(813) 908-1659,https://www.angelsunaware.com/
Good Times Group Home,Good Times Group Home,"11020 SW 153rd St, Miami, FL 33157",(305) 971-0045,
Believers Group Home,Believers Group Home,"701 NE Eastlake St, Port St. Lucie, FL 34983",(772) 240-8088,
