Program,Agency,Address,Phone Number,URL,Lat,Long
Wallace Johnson Group Home,Yellowstone Behavioral Health Center,"2713 Cougar Ave, Cody, WY 82414",(307) 587-5112,https://www.ybhc.org/,44.529762,-109.0381368
Sol Domus,"Sol Domus, Inc.","1205 W 3rd St, Gillette, WY 82716",(307) 687-1100,https://www.soldomuswy.com/,44.2919053,-105.5204793
Wyoming Independent Living,Wyoming Independent Living,"305 W 1st St, Casper, WY 82601",(307) 266-6956,https://www.wilr.org/,42.8500167,-106.3287992
Fremont County Group Home,Unknown,"11 Minter Ln, Riverton, WY 82501",(307) 856-2643,N/A,43.066543,-108.401813
The Arc of Laramie County,Arc Services,"4515 E Pershing Blvd Suite F, Cheyenne, WY 82001",(307) 632-1209,N/A,41.1454049,-104.7556157
Maxcare of New Mexico,"Maxcare, Inc.","1114 Pennsylvania St NE A, Albuquerque, NM 87110",(505) 271-2433,https://maxcarenm.net/,35.0902536,-106.5593806
ADID Care,ADID Care,"3701 San Mateo Blvd NE, Albuquerque, NM 87110",(505) 296-3684,https://adidcare.com/,35.124328,-106.586579
Las Cumbres Adult Services,Las Cumbres,"104 N Coronado Ave, Española, NM 87532",(505) 747-4715,https://www.lascumbres-nm.org/adult-services,35.991697,-106.086002
Tobosa Developmental Services,Tobosa,"2110 S Main St, Roswell, NM 88203",(575) 624-1025,https://www.tobosa.org/,33.3652689,-104.5231565
"Adelante Development Center, Inc.",Go Adelante,"3900 Osuna Rd NE, Albuquerque, NM 87109",(505) 341-2000,https://goadelante.org/,35.154838,-106.600246
Elderly or Disabled Living (Local),Elderly or Disabled Living,"8245 Irish Dr, North Richland Hills, TX 76180",(817) 576-2584,https://www.elderlyordisabledliving.com/,32.850679,-97.2058135
San Antonio Independent Living,San Antonio Independent Living,"11306 Sir Winston St Bldg F, San Antonio, TX 78216",(210) 281-1878,https://www.sailstx.org/,29.5517316,-98.5109091
"Community Homes For Adults, Inc.","CHAI, Inc.","11615 Forest Central Dr #100, Dallas, TX 75243",(214) 373-8600,https://chaidallas.org/,32.9076853,-96.7675607
Noah's House,Noah's House Texas,"176 Fellows Rd, Houston, TX 77047",(713) 434-5599,https://noahshousetx.org/,29.59913,-95.420566
Denton State Supported Living Center,Texas Health & Human Services,"3980 State School Rd, Denton, TX 76210",(940) 891-0342,https://www.hhs.texas.gov/services/disability/intellectual-or-developmental-disabilities-idd-long-term-care/state-supported-living-centers-sslcs/denton-state-supported-living-center,33.1668726,-97.0962909
Meadow Brook Acres Center for Independent Living,Oklahoma Rehabilitation Services,"13016 S Pennsylvania Ave, Oklahoma City, OK 73170",(405) 692-1000,https://www.okdrs.gov/guide/meadowbrook-acres-center,35.3387488,-97.547541
Fountain House Group Home,Unknown,"403 S Smith St, Vinita, OK 74301",(918) 256-8534,N/A,36.6343599,-95.1616254
"ProCare Community Residential Services, Inc.",Unknown,"5401 S Harvard Ave, Tulsa, OK 74135",(918) 280-9999,N/A,36.085492,-95.940011
Stillwater Group Homes Inc Office,Stillwater,"904 W 11th Ave, Stillwater, OK 74074",(405) 743-2496,https://www.stillwatergrouphomes.org/,36.1104113,-97.0695515
Duncan Group Homes Inc,Unknown,"1301 W Main St, Duncan, OK 73533",(580) 252-8000,N/A,34.502451,-97.963929
La Industries For the Disabled,Unknown,"1979 Beaumont Dr, Baton Rouge, LA 70806",(225) 928-1400,N/A,30.4682818,-91.1104746
"ResCare Community Living - Mandeville, Louisiana",ResCare Community Living,"800 N Causeway Blvd Suite 1C, Mandeville, LA 70448",(985) 674-4177,https://rescarecommunityliving.com/location/rescare-community-living-mandeville-louisiana/,30.3781538,-90.0911824
Special Neighbors Inc,Unknown,"1215 W Truman Rd, Independence, MO 64050",(816) 252-3194,N/A,39.0942085,-94.4304371
Harrison County Group Home,Unknown,"501 S 26th St, Bethany, MO 64424",(660) 425-6310,N/A,40.2661788,-94.0267252
Avant Supported Living LLC,Avant,"1805 W Worley St, Columbia, MO 65203",(573) 207-2070,https://www.avantsupportedliving.com/,38.9607648,-92.3662033
Independent Living Center Of Southeast Missouri,Independent Living Center of SEMO,"511 Cedar St, Poplar Bluff, MO 63901",(573) 686-2333,https://ilcsemo.org/,36.7553528,-90.3961848
Life Development Support Center,Life Development Support Center,"2420 N, 2036, N Hwy 67, Florissant, MO 63033",(314) 831-9440,https://www.lifedsc.com/,38.803891,-90.308829
Emory Group Home,Unknown,"111 Tiffin Dr, Oak Ridge, TN 37830",(865) 483-3375,N/A,36.0038637,-84.2658798
Memphis Center for Independent Living,Memphis Center for Independent Living,"111 S Highland St #358, Memphis, TN 38111",(901) 726-6404,https://sites.google.com/site/mcilaction/,35.128922,-89.945281
Beta Home Inc,Unknown,"1809 Luttrell St, Knoxville, TN 37917",(865) 521-7683,N/A,35.9895525,-83.9182305
Greer Group Home,Unknown,"76 N Greer St, Memphis, TN 38111",(901) 458-3138,N/A,35.1340083,-89.9540349
Open Arms Care,Open Arms Care,"5120 Yale Rd, Memphis, TN 38134",(901) 371-9774,https://www.openarmscare.org/,35.2210518,-89.8905871
Arc Housing Development Services,Arc Services,"5509 W Friendly Ave, Greensboro, NC 27410",(336) 273-4404,https://www.arcnc.org/programs-and-services/housing,36.089039,-79.88264
The Arc of North Carolina,Arc Services,"5041 New Centre Dr # 100, Wilmington, NC 28403",(910) 792-9146,https://www.arcnc.org/,34.2394229,-77.8767504
Friendship Ark of Iowa,"Friendship Ark, Inc.","5820 Lincoln Way Suite 101, Ames, IA 50014",(515) 292-9556,https://www.friendshipark.org/,42.0227533,-93.6605597
Alexian Brothers Housing and Health Alliance - Bettendorf Place,Unknown,"8425 S Saginaw Ave, Chicago, IL 60617",(773) 359-4902,N/A,41.7418436,-87.5597743
Special Needs Living Indiana,ISSUU,"8115 Walden Glen Ct, Indianapolis, IN 46278",(248) 882-8448,https://issuu.com/specialneedslivingindy,39.9071528,-86.3051868
Halom House,"Halom House, Inc.","4680 Hunt Rd, Blue Ash, OH 45242",(513) 791-2912,https://www.halomhouse.com/,39.2286863,-84.3774437
Wiley Homes,"Wiley Homes, Inc.","5250 Renwyck Dr # D, Toledo, OH 43615",(567) 686-1130,https://www.wileyhomesinc.net/,41.636604,-83.665321
Voca-Guyandotte Group Home,Unknown,"209 Richmond St, Huntington, WV 25702",(304) 522-6748,N/A,38.4293093,-82.3874337
Advoserve Group Home,Unknown,"1539 Bohemia Mill Rd, Middletown, DE 19709",(302) 378-2102,N/A,39.480944,-75.77368
Community Living Inc,Unknown,"2007 Gladstone Ave, Louisville, KY 40205",(502) 451-0082,N/A,38.2155307,-85.6841604
Golden Group Home Services,Golden Group Home Services,"324 Cummings Rd, South Portland, ME 04106",(207) 415-5393,https://goldengghs.com/,43.6429711,-70.3544779
